NTA2020,NTAName,total_from_all_2024,total_from_all_2025,diff_from_all,total_from_to_cbd_2024,total_from_to_cbd_2025,diff_from_to_cbd,pct_from_all,pct_from_to_cbd
QN8191,Flushing Meadows-Corona Park,4254052.81,4701074.77,447021.96,1702731.1,1852491.15,149760.04,10.51,8.8
QN8381,John F. Kennedy International Airport,435302.78,705455.98,270153.2,194371.47,305986.86,111615.39,62.06,57.42
SI0101,St. George-New Brighton,0,0,0,0,0,0,NA,NA
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0,0,0,0,0,0,NA,NA
SI0103,Rosebank-Shore Acres-Park Hill,0,0,0,0,0,0,NA,NA
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0,0,0,0,0,0,NA,NA
SI0202,New Dorp-Midland Beach,0,0,0,0,0,0,NA,NA
SI0301,Oakwood-Richmondtown,0,0,0,0,0,0,NA,NA
SI0302,Great Kills-Eltingville,0,0,0,0,0,0,NA,NA
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0,0,0,0,0,0,NA,NA
SI0305,Tottenville-Charleston,0,0,0,0,0,0,NA,NA
