GTFS Stop ID,Station ID,station_complex_id,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all,total_to_all,total_from_to_cbd,total_to_from_cbd
127,317,611,IRT,Broadway - 7Av,Times Sq-42 St,M,TRUE,1 2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.987495 40.75529),TRUE,29215136.4648,28417310.3594,12121209.2472,11666367.1836
S17,515,515,SIR,Staten Island,Annadale,SI,FALSE,SIR,Open Cut,Ferry,South Shore,0,0,0,NA,POINT (-74.178217 40.54046),FALSE,0,0,0,0
S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,FALSE,S,Elevated,Last Stop,Prospect Park,1,1,1,NA,POINT (-73.955827 40.680596),FALSE,703450.7582,693381.5288,298603.5426,305196.3038
254,349,349,IRT,Eastern Pky,Junius St,Bk,FALSE,3,Elevated,Manhattan,New Lots,0,0,0,NA,POINT (-73.902447 40.663515),FALSE,256252.5674,257959.0726,28447.7516,29616.4738
M01,108,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,FALSE,M,Elevated,Inbound,Last Stop,1,1,1,NA,POINT (-73.889601 40.711396),FALSE,453436.4282,428143.7128,191463.6082,180180.3082
726,471,471,IRT,Flushing,34 St-Hudson Yards,M,TRUE,7,Subway,Last Stop,Queens,1,1,1,NA,POINT (-74.00191 40.755882),TRUE,3841388.1928,3979905.222,1760822.2364,1780669.1168
713,457,457,IRT,Flushing,52 St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.912549 40.744149),FALSE,730061.1914,737444.5984,326788.446,326532.303
615,373,373,IRT,Pelham,E 149 St,Bx,FALSE,6,Subway,Northbound,Manhattan,1,1,1,NA,POINT (-73.904098 40.812118),FALSE,522660.9154,505616.0118,192974.5964,184325.7884
M11,97,97,BMT,Jamaica,Myrtle Av,Bk,FALSE,M J Z,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.935657 40.697207),FALSE,1594353.3534,1545743.2378,921262.4642,811552.0796
F16,234,234,IND,6th Av - Culver,East Broadway,M,TRUE,F,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-73.990173 40.713715),TRUE,2164495.2842,2243148.296,905157.878,935433.7322
F33,248,248,IND,6th Av - Culver,Avenue N,Bk,FALSE,F,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.974197 40.61514),FALSE,270443.9544,260549.3648,104515.0912,96494.2602
233,336,336,IRT,Eastern Pky,Hoyt St,Bk,FALSE,2 3,Subway,Manhattan,Outbound,2,0,1,Outbound only,POINT (-73.985065 40.690545),FALSE,1030674.7568,1054321.8584,239010.963,327736.7026
M05,110,110,BMT,Myrtle Av,Forest Av,Q,FALSE,M,Elevated,Inbound,Middle Village,0,0,0,NA,POINT (-73.903077 40.704423),FALSE,536649.3406,516300.5714,319464.8958,289503.733
S30,502,502,SIR,Staten Island,Tompkinsville,SI,FALSE,SIR,At Grade,Ferry,South Shore,0,0,0,NA,POINT (-74.074835 40.636949),FALSE,0,0,0,0
R43,37,37,BMT,4th Av,77 St,Bk,FALSE,R,Subway,Manhattan,Bay Ridge,0,0,0,NA,POINT (-74.02551 40.629742),FALSE,652972.6718,616722.3848,303094.4986,278411.247
A36,170,624,IND,8th Av - Fulton St,Chambers St,M,TRUE,A C,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-74.008585 40.714111),TRUE,8338188.8328,8435799.3788,4074292.2594,3878527.9228
604,363,363,IRT,Pelham,Westchester Sq-E Tremont Av,Bx,FALSE,6,Elevated,Pelham Bay,Manhattan,1,1,1,NA,POINT (-73.842952 40.839892),FALSE,485778.0262,474124.489,137267.51,131451.1258
D09,217,217,IND,Concourse,170 St,Bx,FALSE,B D,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.9134 40.839306),FALSE,581693.9454,563816.4976,287047.016,261333.4748
629,400,613,IRT,Lexington Av,59 St,M,TRUE,4 5 6,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.967967 40.762526),TRUE,7129772.8582,7495923.2328,2807834.2312,2880972.7586
219,432,432,IRT,Lenox - White Plains Rd,Prospect Av,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.90177 40.819585),FALSE,670365.0242,650063.7992,239952.3224,221695.731
F39,253,253,IND,6th Av - Culver,Neptune Av,Bk,FALSE,F,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.974574 40.581011),FALSE,139720.311,140536.0622,39845.0806,38053.9004
N09,78,78,BMT,Sea Beach,Avenue U,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-73.979137 40.597473),FALSE,488220.4018,480499.6926,141266.153,140407.1816
610,368,368,IRT,Pelham,Morrison Av-Soundview,Bx,FALSE,6,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.874516 40.829521),FALSE,672889.779,673523.9458,271734.4784,252979.9934
F32,247,247,IND,6th Av - Culver,Bay Pkwy,Bk,FALSE,F,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.975264 40.620769),FALSE,97188.2172,91337.5704,15798.171,16909.915
R13,8,8,BMT,Astoria,5 Av/59 St,M,TRUE,N R W,Subway,Queens,Downtown,0,0,0,NA,POINT (-73.973347 40.764811),TRUE,2132639.4854,2229802.5962,989229.3756,996479.521
B22,69,69,BMT,West End,25 Av,Bk,FALSE,D,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.986829 40.597704),FALSE,497614.3058,476654.613,217649.6016,201664.426
622,393,393,IRT,Lexington Av,116 St,M,FALSE,6,Subway,The Bronx,Downtown,0,0,0,NA,POINT (-73.941617 40.798629),FALSE,1738925.9466,1681569.282,708249.0036,670431.8726
H14,202,202,IND,Rockaway,Beach 105 St,Q,FALSE,A S,Viaduct,Inbound,Rockaway Park,0,0,0,NA,POINT (-73.827559 40.583209),FALSE,17146.3062,18851.1168,5263.5794,5991.6864
F05,258,258,IND,Queens Blvd,Briarwood,Q,FALSE,E F,Subway,Jamaica,Manhattan,0,0,0,NA,POINT (-73.820574 40.709179),FALSE,611380.9922,588043.3868,273993.4638,248382.9228
R19,14,14,BMT,Broadway - Brighton,23 St,M,TRUE,R W,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.989344 40.741303),TRUE,2719462.1488,2837918.473,1488120.9008,1430718.7198
R18,13,13,BMT,Broadway - Brighton,28 St,M,TRUE,R W,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.988691 40.745494),TRUE,1789990.5628,1889499.304,963185.9416,945063.7092
114,304,304,IRT,Broadway - 7Av,145 St,M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.95036 40.826551),FALSE,1203117.7694,1206484.3278,520345.8484,540610.8646
A03,144,144,IND,8th Av - Fulton St,Dyckman St,M,FALSE,A,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.927271 40.865491),FALSE,784550.2626,769950.9538,444383.7446,411468.032
M16,101,101,BMT,Jamaica,Marcy Av,Bk,FALSE,M J Z,Elevated,Outbound,Manhattan,1,1,1,NA,POINT (-73.957757 40.708359),FALSE,1647131.8582,1639229.926,833861.8814,802935.8762
720,463,463,IRT,Flushing,Hunters Point Av,Q,FALSE,7,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.948916 40.742216),FALSE,559311.6238,559064.0168,290587.3306,273226.1024
A16,154,154,IND,8th Av - Fulton St,116 St,M,FALSE,C B,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.954882 40.805085),FALSE,815735.6998,798670.9402,420364.5814,423097.7492
A41,174,636,IND,8th Av - Fulton St,Jay St-MetroTech,Bk,FALSE,A C F,Subway,Manhattan,Outbound,1,1,1,NA,POINT (-73.987342 40.692338),FALSE,4949447.231,5140130.4996,2076656.4354,1931865.9588
R39,33,33,BMT,4th Av,45 St,Bk,FALSE,R,Subway,Manhattan,Southbound,0,0,0,NA,POINT (-74.010006 40.648939),FALSE,1029478.0231999999,984131.8981999999,372119.2734,346320.606
A52,185,185,IND,8th Av - Fulton St,Liberty Av,Bk,FALSE,C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.896548 40.674542),FALSE,228089.4738,217343.6036,69592.697,64956.3684
G34,290,290,IND,Crosstown,Classon Av,Bk,FALSE,G,Subway,Queens,Southbound,0,0,0,NA,POINT (-73.96007 40.688873),FALSE,660733.8536,631509.1152,310054.8768,313965.6128
D30,46,46,BMT,Broadway - Brighton,Cortelyou Rd,Bk,FALSE,Q,Open Cut,Manhattan,Southbound,0,0,0,NA,POINT (-73.963891 40.640927),FALSE,783281.0244,770817.2824,335965.9752,319352.6112
G20,272,272,IND,Queens Blvd,36 St,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.928781 40.752039),FALSE,412656.0632,430378.7072,166857.2846,170828.9096
418,412,628,IRT,Lexington Av,Fulton St,M,TRUE,4 5,Subway,Uptown,Downtown,1,1,1,NA,POINT (-74.009509 40.710368),TRUE,12343187.7976,12615655.2426,5397410.6404,5578326.9704
212,425,425,IRT,Lenox - White Plains Rd,Bronx Park East,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.868457 40.848828),FALSE,220577.92,218384.2726,84753.9662,79479.6842
503,444,444,IRT,Dyre Av,Gun Hill Rd,Bx,FALSE,5,Open Cut,Eastchester,Manhattan,1,1,1,NA,POINT (-73.846384 40.869526),FALSE,433487.9138,440506.3662,178187.9598,168927.7742
B18,65,65,BMT,West End,79 St,Bk,FALSE,D,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-74.00061 40.613501),FALSE,786620.7826,774141.5011999999,333326.7118,313060.8042
G29,285,629,IND,Crosstown,Metropolitan Av,Bk,FALSE,G,Subway,Queens,Southbound,1,1,1,NA,POINT (-73.951418 40.712792),FALSE,2700057.8516,2802984.4292,1265749.2296,1408809.7354
G21,273,273,IND,Queens Blvd,Queens Plaza,Q,FALSE,E M R,Subway,Outbound,Manhattan,1,1,1,NA,POINT (-73.937243 40.748973),FALSE,2386727.9626,2418564.3142,1248499.1286,1181892.9964
406,381,381,IRT,Jerome Av,Kingsbridge Rd,Bx,FALSE,4,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.897174 40.86776),FALSE,1007466.2664,945076.909,322638.8954,308380.5178
R23,18,623,BMT,Broadway,Canal St,M,TRUE,R W,Subway,Uptown,Downtown,0,0,0,NA,POINT (-74.001775 40.719527),TRUE,7142992.4662,7479724.6616,3134058.0414,3283531.8574
110,300,300,IRT,Broadway - 7Av,191 St,M,FALSE,1,Subway,The Bronx,Downtown,0,0,0,NA,POINT (-73.929412 40.855225),FALSE,915482.8998,898855.1398,369863.9944,350136.545
G09,262,262,IND,Queens Blvd,67 Av,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.852719 40.726523),FALSE,998510.8663999999,963780.8728,440398.8234,411264.9112
A51,184,621,IND,8th Av - Fulton St,Broadway Junction,Bk,FALSE,A C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.905316 40.678334),FALSE,1021300.0728,950713.2154,304519.5064,281460.1106
R01,1,1,BMT,Astoria,Astoria-Ditmars Blvd,Q,FALSE,N W,Elevated,Last Stop,Manhattan,0,0,0,NA,POINT (-73.912034 40.775036),FALSE,2025364.9756,1988691.948,1199543.93,1145242.127
246,358,358,IRT,Nostrand,Newkirk Av-Little Haiti,Bk,FALSE,2 5,Subway,Manhattan,Flatbush,0,0,0,NA,POINT (-73.948411 40.639967),FALSE,852908.579,795791.7804,373009.3436,333589.1424
L15,126,126,BMT,Canarsie,Jefferson St,Bk,FALSE,L,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.922913 40.706607),FALSE,1415298.1844,1461930.3038,679721.3032,709939.5776
S25,507,507,SIR,Staten Island,Dongan Hills,SI,FALSE,SIR,Embankment,Ferry,South Shore,1,1,1,NA,POINT (-74.09609 40.588849),FALSE,0,0,0,0
H01,196,196,IND,Rockaway,Aqueduct Racetrack,Q,FALSE,A,At Grade,Manhattan,Rockaways,1,1,1,NA,POINT (-73.835919 40.672097),FALSE,50903.855,67469.6978,18790.429,25389.9458
J22,89,89,BMT,Jamaica,Cleveland St,Bk,FALSE,J,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.884639 40.679947),FALSE,208791.1928,217001.0556,57480.2908,56898.3344
A20,158,158,IND,8th Av - Fulton St,86 St,M,FALSE,C B,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.968916 40.785868),FALSE,1520091.3788,1535219.8836,835898.8072,840891.4828
